Marca temporal,Fecha,Guanábanas del Samán,Guanábanas de la Casa,Guanábanas del Rin,Guanábanas del Caracolí,Guanábanas de Roma 2,Guanábanas del Almendro,Guanábanas de Sorrento 1,Guanábanas de Las Nubes,Total de Guanábanas,Peso de las guanábanas en gramos ANTES de despulpar,Peso promedio por Guanábana,Peso de las guanábanas en gramos DESPUÉS de despulpar,Rendimiento,"Cantidad de bolsas empacadas, cuantas CON PEPA y cuantas SIN PEPA",Horas empleadas para la labor,Kilos de pulpa por Hora,Comentarios
3/10/2024 11:26:39,30/08/2024,,,,,,,,,17,"51,629","3,04","37,669","72,96%",32,4,"0,01",
3/10/2024 11:27:13,2/09/2024,,,,,,,,,5,"15,185","3,04","11,079","72,96%",10,1,"0,01",
3/10/2024 11:27:42,6/09/2024,,,,,,,,,10,"30,37","3,04","22,158","72,96%",20,2,"0,01",estas fueron bolsas
3/10/2024 11:29:18,10/09/2024,,,,,,,,,4,"12,148","3,04","8,863","72,96%",7,"0,5","0,02",
3/10/2024 11:29:53,24/09/2024,,,,,,,,,2,"4,8","2,40","3,502","72,96%",??,"1,5","0,00",
3/10/2024 11:30:28,1/10/2024,,,,,,,,,4,"8,8","2,20","6,420","72,96%",???,"1,5","0,00",
10/10/2024 13:56:10,8/10/2024,1,1,1,,,1,,,4,"12,8","3,20","9,339","72,96%",12,"1,5","0,01",
20/10/2024 14:10:20,20/10/2024,,,,,,,,,1,"4,4","4,40","3,800","86,36363636%","4,5","0,3","0,01",
12/11/2024 18:23:01,3/11/2024,,,,,,1,,,1,6,"6,00","4,000","66,66666667%",5,"0,5","0,01",
13/11/2024 20:16:03,13/11/2024,1,1,,1,,,,,3,"6,247","2,08","4,657","74,54778294%",10,1,"0,00",
16/11/2024 20:03:29,15/11/2024,,,1,1,,,,,2,"7,671","3,84","6,201","80,83691826%",13.bolsa.de.450.gm.y.una.de.300.gm,"1,6","0,00",
21/11/2024 20:17:46,20/11/2024,,,,,1,,,,1,"11,34","11,34","6,775","59,74426808%",15,"1,5","0,00",
21/11/2024 20:28:24,21/11/2024,,,,,1,,,,1,"9,26","9,26","7,200","77,7537797%",16,2,"0,00",
23/11/2024 8:37:45,22/11/2024,,,,,1,,,,1,"17,34","17,34","13,320","76,816609%",29,"2,5","0,01",
27/11/2024 20:02:37,24/11/2024,,1,,,,,,,1,10,"10,00","5,500",55%,12.bolsa.de.450.una.de.150.gramos,"2,5","0,00",
27/11/2024 20:10:19,26/11/2024,1,,,,,,,,1,"1,15","1,15","0,900","78,26086957%",2,"0,3","0,00",
30/11/2024 19:54:37,28/11/2024,,1,,,,,,,1,"7,3","7,30","4,500","61,64383562%",10,"1,3","0,00",
30/11/2024 20:01:29,30/11/2024,,,,,2,,,,2,"9,8","4,90","7,200","73,46938776%",10,"2,5","0,00",
1/12/2024 13:31:01,1/12/2024,1,,,,,,,,1,"5,9","5,90","4,700","79,66101695%",10,"1,3","0,00",
3/12/2024 19:18:10,2/12/2024,1,1,,,,,,,2,7,"3,50","4,950","70,71428571%",11,"1,3","0,00",
4/12/2024 21:07:03,4/12/2024,2,2,1,1,2,,,,8,"22,81","2,85","17,100","74,96711968%",38,"4,5","0,00",
6/12/2024 3:50:44,5/12/2024,2,,,2,4,2,,,10,"33,85","3,39","22,500","66,46971935%",50,6,"0,00",
